id,title,pp,txWords,spCount,roles,rolesM,rolesF,genre,class
   L0359,"Twice Killed",23,6431,364,9,6,3,Ba.,BURLETTA
   L0399,"Locked Out",10,4293,131,2,1,1,F.,FARCE
   L0406,"Perdita, or The Royal Milkmaid",38,8092,523,12,8,3,Bsq.,BURLESQUE
   L0491,"Two Gay Deceivers, or Black, White and Grey",11,3258,273,3,3,0,F.,FARCE
   L0499,"What Will They Say at Brompton",15,8439,319,10,6,4,F.,FARCE
   L0526,"Marriage a Lottery",37,10545,675,7,3,4,F.,FARCE
   L0567,"The Woman of the World",50,17996,707,17,11,6,D.,DRAMA
   L0592,"Içi On Parle Français",21,7267,302,7,3,4,F.,FARCE
   L0605,"Retained for the Defence",20,6151,273,7,5,1,F.,FARCE
   L0610,"A School For Coquettes",34,11780,635,6,3,3,Ca.,COMEDIETTA
   L0707,"A Hard Struggle",26,8118,321,7,3,4,D.,DRAMA
   L0737,"Up at the Hills",59,18298,752,14,8,6,C.,COMEDY
   L0743,"The Cantab",23,7270,391,5,3,2,F.,FARCE
   L0783,"Medea",22,7539,346,7,4,3,T.,TRAGEDY
   L0796,"Villikins and His Dinah",20,4830,173,4,3,1,F.,FARCE
   L0843,"Rasselas, Prince of Abyssinia; or, The Happy Valley",29,7237,472,11,8,3,Bsq.,BURLESQUE
   L0848,"Dred; A Tale of the Dismal Swamp",39,11628,413,16,10,6,D.,DRAMA
   L0849,"Lady Audley's Secret",33,14065,551,10,6,4,D.,DRAMA
   L0911,"1863; or, The Sensations of the Past Season. With A Shameful Revelation of Lady Somebody's Secret",28,6737,322,12,7,5,Ext.,SPECTACLE
   L0945,"Woodcock's Little Game",39,10996,517,7,4,3,C.F.,COMEDY
   L0979,"Wanted, A Young Lady",16,4929,352,3,2,1,F.,FARCE
   L1060,"Society",59,16649,1007,21,16,5,C.,COMEDY
   L1124,"Frankenstein; or, The Man and the Monster: TEI Edition",22,8329,166,10,6,3,M.D.,MELODRAMA
   L1262,"An Old Score",40,15505,523,9,6,3,C.D.,COMEDY
   L1284,"Ambrose Gwinett; A Sea-Side Story",43,14437,599,18,14,3,M.D.,MELODRAMA
   L1325,"The Death of Marlowe",20,5393,181,6,5,1,T.,TRAGEDY
   L1329,"Captain Smith",18,5898,349,7,3,4,F.,FARCE
   L1358,"In Three Volumes",14,5160,255,6,4,2,F.,FARCE
   L1377,"The Woman in Red",54,19465,844,18,13,5,C.,COMEDY
   L1386,"After the Party",17,5522,281,2,1,1,,
   L1410,"Never Reckon Your Chickens",15,5665,294,7,3,4,F.,FARCE
   L1458,"On Guard : TEI edition",44,16171,857,8,6,2,C.,COMEDY
   L1476,"The Last of the Legends",22,6971,334,8,5,3,Bsq.,BURLESQUE
   
